tweets
“Before software can be reusable it first has to be usable.” – Ralph Johnson    #100DaysOfCode  #CodeNewbie #Python #Javascript already_tweeted
“Any fool can write code that a computer can understand. Good programmers write code that humans can understand.” ― Martin Fowler #100DaysOfCode  #CodeNewbie #Python #Javascript    already_tweeted
“I'm not a great programmer; I'm just a good programmer with great habits.”― Kent Beck #100DaysOfCode  #CodeNewbie #Python #Javascript   already_tweeted
What's your favorite book about programming? #100DaysOfCode  #CodeNewbie #Python #Javascript already_tweeted
What's the name of your pet-project? #100DaysOfCode  #CodeNewbie #Python #Javascript already_tweeted
What is the best content creator for programming tutorials? #100DaysOfCode  #CodeNewbie #Python #Javascript already_tweeted
What is your personal opinion about JavaScript? #100DaysOfCode  #CodeNewbie #Python #Javascript already_tweeted   
"Any code of your own that you haven't looked at for six or more months might as well have been written by someone else." - Eagleson's Law Photo by @steelo_codes on IG #100DaysOfCode  #CodeNewbie #Python #Javascript
What comes to your mind when you hear the word "SCRUM"? #100DaysOfCode  #CodeNewbie #Python #Javascript
"What you do makes a difference, and you have to decide what kind of difference you want to make." - Jane Goodall #100DaysOfCode  #CodeNewbie #Python #Javascript
Share a tip or two for getting better at programming #100DaysOfCode  #CodeNewbie #Python #Javascript
"Many of life's failures are people who did not realize how close they were to success when they gave up." - Thomas Edison #100DaysOfCode  #CodeNewbie #Python #Javascript
What according to you is the upside/downside of functional programming vs object-oriented programming? #100DaysOfCode  #CodeNewbie #Python #Javascript
What's your favorite design pattern?  #100DaysOfCode  #CodeNewbie #Python #Javascript
